,drugName,rating
1738,Vilazodone,8
1746,Citalopram,8
1758,Duloxetine,1
1767,Citalopram,4
1795,Trintellix,8
1836,Lexapro,9
1838,Fluoxetine,3
1858,Paroxetine,10
1862,Duloxetine,6
1865,Wellbutrin XL,10
1878,Aripiprazole,8
1879,Sertraline,8
1880,Viibryd,2
1884,Paroxetine,10
1890,Wellbutrin,10
1922,Sertraline,10
1939,Vilazodone,10
1984,Duloxetine,9
1996,Mirtazapine,7
2008,Desvenlafaxine,10
2014,Escitalopram,9
2017,Paroxetine,9
2019,Sertraline,1
2035,Lexapro,8
2040,Vilazodone,1
2046,Effexor,10
2064,Cymbalta,10
2078,Sertraline,2
2084,Sertraline,3
2095,Selegiline,9
2117,Bupropion,10
2134,Seroquel XR,1
2172,Mirtazapine,10
2225,Mirtazapine,9
2237,Desvenlafaxine,3
2241,Wellbutrin XL,10
2251,Mirtazapine,10
2254,Bupropion,9
2269,Celexa,8
2371,Celexa,10
2398,Fluoxetine,10
2410,Prozac,9
2417,Effexor XR,10
2473,Deplin,10
2504,Paroxetine,9
2516,Citalopram,1
2524,Fluoxetine,9
2528,Duloxetine,10
2540,Sertraline,10
2543,Sertraline,1
2571,Venlafaxine,3
2603,Vortioxetine,10
2674,Duloxetine,10
2675,Pristiq,1
2712,Zyprexa,2
2725,Niacin,10
2737,Vortioxetine,7
2746,Pristiq,7
2757,Sertraline,10
2760,Wellbutrin SR,9
2819,Effexor XR,9
2821,Bupropion,10
2834,Bupropion,8
2858,Escitalopram,9
2862,Effexor XR,1
2869,Desvenlafaxine,9
2875,Bupropion,9
2928,Pristiq,9
2940,Wellbutrin,4
2950,Effexor,1
2989,Venlafaxine,8
2992,Mirtazapine,8
3003,Desvenlafaxine,8
3008,Vilazodone,10
3014,Sertraline,10
3043,Venlafaxine,8
3058,Fluoxetine,10
3062,Sertraline,10
3105,Nefazodone,10
3108,Mirtazapine,1
3155,Lexapro,10
3158,Bupropion,5
3169,Pristiq,10
3175,Lithium,10
3178,Aripiprazole,10
3179,Prozac,5
3182,Vortioxetine,9
3185,Fluoxetine,9
3204,Sertraline,10
3209,Xanax,10
3218,Lexapro,10
3234,Niacin,10
3251,Bupropion,9
3275,Escitalopram,7
3292,Bupropion,9
3393,Cymbalta,8
3413,Wellbutrin,9
3422,Desvenlafaxine,1
3449,Zoloft,4
3458,Armodafinil,7
3484,Mirtazapine,10
3522,Citalopram,9
3544,Effexor XR,7
3559,Citalopram,1
3602,Celexa,9
3603,Prozac,10
3639,Wellbutrin,9
3667,L-methylfolate,10
3671,Paroxetine,9
3690,Desvenlafaxine,3
3692,Vortioxetine,9
3696,Escitalopram,10
3701,Escitalopram,7
3728,Tramadol,10
3741,Tramadol,10
3747,Venlafaxine,10
3759,Venlafaxine,9
3791,Bupropion,7
3801,Mirtazapine,6
3805,Vortioxetine,6
3816,Vortioxetine,9
3829,Sertraline,9
3862,Zoloft,6
3882,Sertraline,3
3946,Vortioxetine,3
4001,Nefazodone,10
4029,St. john's wort,9
4041,Bupropion,7
4042,Viibryd,9
4048,Fluoxetine,8
4051,Bupropion,9
4090,Trazodone,9
4099,Zoloft,4
4133,Brexpiprazole,7
4146,Pristiq,10
4174,Wellbutrin,1
4175,Bupropion,7
4176,Escitalopram,8
4207,Seroquel XR,10
4209,Abilify Discmelt,9
4229,Duloxetine,1
4230,Paroxetine,10
4239,Zoloft,8
4282,Bupropion,4
4296,Effexor,9
4304,Elavil,10
4310,Duloxetine,10
4313,Escitalopram,1
4327,Escitalopram,6
4353,Vilazodone,10
4355,Citalopram,10
4378,Citalopram,1
4379,Aripiprazole,1
4393,Norpramin,10
4401,Wellbutrin XL,7
4413,Vilazodone,10
4427,Cymbalta,10
4434,Paroxetine,7
4435,Mirtazapine,9
4457,Duloxetine,10
4550,Escitalopram,10
4552,Effexor,10
4556,Risperidone,10
4561,Parnate,10
4571,Venlafaxine,10
4574,Aripiprazole,1
4605,Cymbalta,1
4660,Effexor,9
4677,Duloxetine,5
4680,Fetzima,1
4683,Duloxetine,8
4694,Lexapro,10
4700,Viibryd,3
4718,Paroxetine,9
4734,L-methylfolate,8
4735,Trintellix,1
4761,Fluoxetine,7
4771,Celexa,1
4825,Tramadol,10
4877,Effexor XR,1
4881,Prozac,10
4921,Viibryd,4
4954,Vilazodone,1
4955,Citalopram,9
4970,Lexapro,10
5009,Celexa,10
5023,Trintellix,9
5048,Tramadol,8
5056,Bupropion,9
5058,Sertraline,1
5072,Lexapro,7
5111,Desvenlafaxine,8
5116,Pristiq,10
5183,Fluoxetine,10
5197,Zoloft,9
5220,Escitalopram,7
5222,Paroxetine,7
5225,Modafinil,6
5289,Effexor XR,9
5317,Venlafaxine,1
5319,Amitriptyline,1
5327,Alprazolam,10
5336,Effexor XR,6
5346,Pristiq,7
5357,Nortriptyline,1
5360,Viibryd,10
5364,Sertraline,3
5384,Tranylcypromine,10
5405,Bupropion,10
5418,Pristiq,7
5424,Venlafaxine,8
5435,Vilazodone,6
5439,Lexapro,6
5474,Duloxetine,10
5495,Venlafaxine,2
5524,Vortioxetine,9
5537,St. john's wort,10
5562,Escitalopram,4
5563,Prozac,10
5565,Vortioxetine,5
5578,Phenelzine,7
5579,Cymbalta,6
5589,Tramadol,10
5595,Escitalopram,9
5609,Venlafaxine,9
5625,Wellbutrin XL,10
5640,Sertraline,8
5641,Vilazodone,10
5647,Pristiq,7
5655,Escitalopram,8
5673,Venlafaxine,7
5695,Desvenlafaxine,10
5717,Wellbutrin,2
5724,Zoloft,8
5732,Celexa,7
5741,Effexor,9
5761,Aripiprazole,7
5766,Wellbutrin XL,10
5776,Venlafaxine,10
5779,Vilazodone,1
5781,Effexor,1
5797,Desipramine,10
5807,Pristiq,3
5822,Vilazodone,3
5851,Remeron,9
5866,Mirtazapine,9
5876,Vortioxetine,5
5888,Citalopram,1
5918,Citalopram,4
5923,Desvenlafaxine,10
5925,Wellbutrin XL,8
5926,Quetiapine,10
5945,Vortioxetine,1
5998,Lexapro,7
6002,Desvenlafaxine,10
6044,Lithium,8
6045,Modafinil,10
6095,Prozac,8
6097,L-methylfolate,10
6120,Paroxetine,8
6124,Fluoxetine,9
6130,Escitalopram,10
6133,Wellbutrin,8
6154,Fluoxetine,9
6162,Vilazodone,9
6190,Lexapro,7
6194,Fluoxetine,7
6200,Sertraline,8
6219,Zoloft,1
6223,Effexor XR,5
6226,Viibryd,10
6248,Wellbutrin,8
6256,Vilazodone,9
6264,Xanax,10
6269,Lexapro,10
6274,Lexapro,8
6286,Lexapro,10
6307,Venlafaxine,8
6311,Citalopram,9
6342,Rexulti,5
6375,Emsam,10
6403,Sertraline,10
6404,Effexor,1
6419,Desvenlafaxine,1
6446,Sertraline,8
6508,Pristiq,7
6513,Vilazodone,8
6538,Prozac,7
6546,Bupropion,9
6547,Zoloft,9
6570,Bupropion,8
6582,Bupropion,9
6585,Zoloft,7
6591,Viibryd,9
6595,Abilify,10
6616,Desvenlafaxine,1
6644,Quetiapine,8
6669,Bupropion,9
6671,Viibryd,5
6680,Levomilnacipran,5
6684,Vortioxetine,4
6690,Nefazodone,10
6704,Zoloft,3
6707,Viibryd,1
6717,Escitalopram,2
6720,Wellbutrin,5
6737,Duloxetine,1
6764,Tofranil,2
6818,Paroxetine,7
6822,Modafinil,10
6892,Venlafaxine,9
6896,Zoloft,9
6919,Citalopram,9
6923,Wellbutrin,9
6926,Celexa,5
6936,Abilify,10
6937,Bupropion,9
6985,Trintellix,2
7001,Vilazodone,10
7021,Pristiq,9
7027,Venlafaxine,8
7033,Zyprexa,10
7052,Abilify,9
7065,Wellbutrin XL,7
7085,Pristiq,10
7097,Effexor,7
7108,Vilazodone,1
7109,Bupropion,5
7128,Sertraline,10
7169,Fluvoxamine,10
7176,Trazodone,10
7194,Bupropion,10
7198,Sertraline,8
7215,Trimipramine,9
7218,Celexa,10
7234,Cymbalta,8
7245,Xanax,10
7252,Escitalopram,1
7266,Sertraline,1
7270,Citalopram,2
7279,Desvenlafaxine,2
7283,Escitalopram,9
7294,Vilazodone,10
7306,Escitalopram,1
7317,Lexapro,8
7371,Bupropion,9
7390,Tranylcypromine,5
7395,Nortriptyline,1
7397,Effexor,7
7413,Brexpiprazole,5
7416,Bupropion,9
7454,Bupropion,9
7463,Trintellix,3
7464,Trintellix,9
7474,Citalopram,10
7521,Cymbalta,10
7524,Celexa,8
7544,Viibryd,2
7552,Citalopram,9
7565,Remeron,5
7610,Modafinil,10
7616,Sertraline,3
7660,Wellbutrin,10
7738,Xanax,10
7755,Pristiq,9
7762,Quetiapine,4
7770,Escitalopram,10
7781,Desvenlafaxine,10
7816,Desvenlafaxine,8
7826,Fluoxetine,9
7870,Citalopram,9
7877,Cymbalta,9
7880,Pristiq,8
7899,Lexapro,7
7900,Vortioxetine,10
7917,Bupropion,10
7945,Venlafaxine,9
7950,Desipramine,9
7951,Lexapro,9
7963,Venlafaxine,1
7969,Zoloft,9
7974,Abilify,6
7980,Vortioxetine,1
7995,Zyprexa,6
7999,Desvenlafaxine,10
8002,Desvenlafaxine,8
8007,Desvenlafaxine,10
8008,Sertraline,8
8016,Lexapro,8
8021,Amoxapine,9
8056,Trintellix,4
8075,Sertraline,10
8086,Venlafaxine,9
8105,Aripiprazole,1
8106,Bupropion,10
8108,Fluoxetine,5
8175,Viibryd,4
8180,Sertraline,3
8230,Zoloft,9
8247,Bupropion,10
8249,Nardil,10
8260,Zoloft,1
8302,Effexor,4
8305,Duloxetine,1
8329,Abilify,10
8335,Fluoxetine,6
8366,Desvenlafaxine,8
8401,Venlafaxine,4
8403,Bupropion,8
8422,Lexapro,10
8436,Vilazodone,8
8463,Citalopram,8
8469,Cymbalta,10
8539,Abilify,3
8550,Venlafaxine,1
8555,Sertraline,9
8603,Citalopram,2
8607,Celexa,10
8621,Escitalopram,7
8629,Lexapro,9
8632,Nardil,9
8645,Zoloft,6
8654,Zoloft,9
8661,Trintellix,4
8702,Selegiline,9
8716,Sertraline,9
8719,Zoloft,10
8726,Venlafaxine,7
8729,Mirtazapine,10
8752,Venlafaxine,6
8753,Venlafaxine,10
8757,Prozac,1
8758,Desvenlafaxine,7
8792,Vilazodone,6
8833,Prozac,9
8835,Wellbutrin XL,10
8836,Paxil,8
8839,Duloxetine,10
8867,Desvenlafaxine,7
8869,Viibryd,10
8873,Desvenlafaxine,10
8892,Tramadol,10
8918,Zoloft,10
8944,Fluoxetine,10
8968,Sertraline,1
8994,Sertraline,9
9004,Vilazodone,10
9042,Venlafaxine,8
9065,Levomilnacipran,2
9111,Vilazodone,6
9123,Duloxetine,8
9132,Bupropion,9
9135,Vilazodone,7
9219,Desvenlafaxine,10
9220,Vortioxetine,9
9226,Venlafaxine,3
9270,Abilify,10
9278,Escitalopram,10
9311,Sertraline,6
9318,Vortioxetine,2
9321,Fluoxetine,9
9335,Lamotrigine,10
9377,Pristiq,2
9385,Cymbalta,7
9429,Olanzapine,1
9458,Sertraline,10
9467,Citalopram,10
9474,Venlafaxine,6
9475,Citalopram,8
9491,Vortioxetine,1
9514,Vortioxetine,10
9523,Citalopram,1
9542,Elavil,1
9553,Bupropion,6
9558,Sertraline,9
9559,Escitalopram,9
9598,Escitalopram,10
9618,Pristiq,1
9626,Wellbutrin,8
9640,Fluoxetine,9
9641,Aripiprazole,9
9669,Effexor,1
9674,Deplin,10
9675,Wellbutrin,8
9677,Fluoxetine,7
9684,Levomilnacipran,1
9689,Bupropion,10
9735,Cymbalta,8
9758,Budeprion XL,8
9775,Xanax,6
9782,Desvenlafaxine,10
9794,Vilazodone,9
9798,Viibryd,3
9859,Bupropion,5
9871,Duloxetine,10
9874,Desvenlafaxine,9
9895,Sertraline,1
9910,Duloxetine,10
9933,Olanzapine,1
9940,Vilazodone,5
9946,Sertraline,1
9949,Quetiapine,9
9954,Effexor XR,1
9963,Prozac,1
9970,Zoloft,1
9986,Bupropion,8
10001,Bupropion,9
10030,Paroxetine,8
10045,Effexor,3
10080,Escitalopram,1
10108,Sertraline,9
10114,Celexa,3
10138,Trintellix,9
10174,Sertraline,9
10194,Phenelzine,6
10221,Sertraline,8
10227,Mirtazapine,8
10236,Citalopram,10
10239,Escitalopram,2
10240,Aripiprazole,7
10276,Aripiprazole,1
10330,Cymbalta,10
10335,Effexor XR,7
10338,Fluoxetine,10
10342,Pristiq,7
10412,Venlafaxine,1
10420,Vilazodone,9
10432,Pristiq,1
10472,Vilazodone,2
10475,Tranylcypromine,1
10477,Escitalopram,9
10505,Zoloft,3
10514,Pristiq,10
10596,Paroxetine,6
10599,Citalopram,8
10612,Duloxetine,10
10613,Duloxetine,8
10625,Trintellix,10
10638,Lexapro,10
10651,Sertraline,7
10683,Viibryd,10
10689,Bupropion,10
10706,Nardil,10
10714,Abilify,10
10721,Alprazolam,8
10733,Citalopram,9
10735,Wellbutrin SR,9
10805,Provigil,10
10814,Fetzima,6
10831,Lexapro,6
10841,Cymbalta,10
10852,Paxil,7
10862,Desvenlafaxine,8
10867,Cymbalta,10
10881,Escitalopram,10
10939,Pristiq,9
10986,Deplin,8
11010,Citalopram,9
11025,Desvenlafaxine,8
11027,Prozac,7
11066,Zoloft,10
11134,Pristiq,8
11143,Zoloft,8
11178,Escitalopram,8
11181,Fluoxetine,5
11182,Bupropion,5
11237,Venlafaxine,8
11242,Paxil,10
11245,Venlafaxine,10
11269,Trazodone,1
11291,Fetzima,4
11293,Celexa,10
11294,Viibryd,9
11302,Pristiq,10
11306,Wellbutrin SR,1
11313,Fetzima,10
11329,Sertraline,4
11331,Desvenlafaxine,8
11359,Aripiprazole,9
11379,Vilazodone,9
11406,Sertraline,8
11413,Lexapro,8
11430,Sertraline,7
11450,Viibryd,1
11461,Cymbalta,9
11467,Sertraline,10
11473,Viibryd,7
11476,Pristiq,2
11483,Lexapro,9
11490,L-methylfolate,5
11504,Zoloft,7
11526,Vortioxetine,9
11527,Sertraline,2
11565,Desvenlafaxine,3
11576,Zoloft,10
11581,Celexa,7
11623,Desvenlafaxine,9
11638,Effexor XR,2
11640,Cymbalta,2
11642,Modafinil,10
11650,Sertraline,9
11668,Desvenlafaxine,9
11681,Sertraline,10
11713,Desvenlafaxine,8
11730,Viibryd,1
11733,Xanax,9
11762,Lexapro,9
11766,Vortioxetine,10
11792,Viibryd,9
11843,Escitalopram,1
11856,Modafinil,10
11866,Desvenlafaxine,1
11889,Wellbutrin,8
11894,Sertraline,10
11905,Duloxetine,10
11925,Duloxetine,7
11931,Celexa,5
11954,Aripiprazole,10
11977,Escitalopram,9
11995,Desvenlafaxine,9
12077,Trintellix,6
12096,Duloxetine,9
12112,Viibryd,3
12114,Seroquel,10
12126,Trintellix,8
12127,Paroxetine,9
12161,Wellbutrin XL,4
12208,Effexor,2
12233,Citalopram,9
12237,Viibryd,2
12289,Effexor XR,7
12311,Lexapro,10
12326,Wellbutrin,8
12349,Bupropion,3
12356,Levomilnacipran,2
12409,Pristiq,10
12414,Escitalopram,7
12444,Paroxetine,9
12469,Pristiq,6
12497,Wellbutrin,3
12546,Effexor XR,9
12599,Venlafaxine,10
12629,Mirtazapine,9
12636,Vortioxetine,8
12657,Vortioxetine,9
12673,Sertraline,7
12704,Sertraline,9
12737,Paxil CR,10
12773,Bupropion,4
12791,Wellbutrin,9
12798,Trintellix,6
12799,Zoloft,7
12817,Emsam,9
12851,Wellbutrin,9
12870,Aripiprazole,10
12921,Cymbalta,6
12960,Aripiprazole,3
12969,Bupropion,1
12971,Paxil,3
12975,Sertraline,1
12977,Sertraline,6
12979,Amitriptyline,10
13042,Sertraline,2
13060,Vilazodone,8
13081,Nortriptyline,4
13104,Venlafaxine,5
13121,Trintellix,9
13142,Desvenlafaxine,3
13164,Viibryd,10
13211,Venlafaxine,1
13212,Duloxetine,10
13217,Desvenlafaxine,7
13261,Vilazodone,10
13276,Sertraline,9
13336,Trazodone,9
13361,Deplin,10
13388,Prozac,9
13390,Effexor,7
13391,Viibryd,6
13394,St. john's wort,10
13435,Cymbalta,10
13446,Mirtazapine,9
13476,Desvenlafaxine,6
13500,Pristiq,9
13504,Citalopram,10
13510,Mirtazapine,3
13517,Vortioxetine,9
13518,Lexapro,1
13523,Sertraline,1
13543,Pristiq,8
13568,Prozac,9
13569,Nardil,2
13583,Citalopram,7
13602,Vilazodone,9
13621,Cymbalta,8
13638,Trintellix,9
13644,Methylphenidate,9
13646,Vilazodone,9
13648,Effexor XR,4
13654,Sertraline,8
13689,Bupropion,10
13703,Abilify,10
13742,Celexa,7
13767,Cymbalta,10
13773,Sertraline,10
13778,Tramadol,9
13785,Vilazodone,5
13796,Olanzapine,10
13798,Zoloft,1
13840,Cymbalta,10
13843,Paxil,1
13869,Wellbutrin SR,3
13884,Vilazodone,10
13945,Vortioxetine,8
13983,Viibryd,2
14027,Bupropion,10
14038,Effexor,6
14047,Venlafaxine,1
14078,Elavil,10
14097,Effexor XR,3
14129,Duloxetine,10
14214,Modafinil,9
14241,Viibryd,4
14257,Sertraline,10
14263,Pristiq,5
14289,Abilify,9
14310,Vortioxetine,2
14324,Celexa,2
14331,Cymbalta,8
14337,Imipramine,10
14357,Lexapro,8
14359,Venlafaxine,10
14361,Bupropion,9
14376,Sertraline,9
14389,Mirtazapine,4
14393,Fluoxetine,1
14398,Lexapro,9
14412,Duloxetine,1
14420,Sertraline,2
14442,Viibryd,5
14454,Tofranil,4
14464,Prozac,8
14466,Wellbutrin,6
14502,Lexapro,7
14513,Fluoxetine,10
14521,Tramadol,10
14538,Fetzima,10
14568,Effexor,7
14589,L-methylfolate,10
14624,Pristiq,9
14643,Lexapro,8
14680,Zoloft,10
14690,Citalopram,9
14691,Remeron,10
14696,Lexapro,9
14731,Sertraline,2
14743,Effexor,6
14745,Vilazodone,10
14746,Sertraline,8
14782,Venlafaxine,9
14871,Fluoxetine,10
14911,Cymbalta,8
14916,Sertraline,2
14927,Sertraline,7
14944,Escitalopram,10
14953,Desvenlafaxine,9
14970,Zoloft,9
14976,Citalopram,8
14987,Bupropion,4
14988,Citalopram,10
15001,Citalopram,10
15017,Duloxetine,6
15045,Wellbutrin,9
15048,Sertraline,9
15086,Venlafaxine,9
15130,Fluoxetine,2
15149,Escitalopram,10
15183,Vortioxetine,8
15189,Escitalopram,1
15197,Vortioxetine,8
15216,Escitalopram,9
15221,Citalopram,8
15264,Limbitrol DS,10
15273,Olanzapine,10
15293,Abilify,3
15303,Effexor XR,9
15309,Fluoxetine,9
15327,Abilify,10
15349,Citalopram,10
15380,Cymbalta,1
15387,Venlafaxine,8
15391,Vortioxetine,10
15423,Pristiq,1
15425,Trintellix,3
15426,Citalopram,10
15438,Lexapro,10
15498,Citalopram,9
15504,Wellbutrin,7
15521,Pristiq,10
15552,Venlafaxine,3
15565,Duloxetine,10
15568,Bupropion,1
15570,Paroxetine,4
15572,Cymbalta,4
15599,Escitalopram,9
15615,Escitalopram,5
15624,Vortioxetine,1
15628,Bupropion,4
15666,Venlafaxine,10
15671,Duloxetine,4
15678,Aplenzin,10
15683,Lamotrigine,10
15693,Wellbutrin XL,1
15695,Lexapro,10
15720,Quetiapine,10
15729,Viibryd,1
15742,Desvenlafaxine,1
15745,Vilazodone,10
15759,Duloxetine,1
15778,Amitriptyline,10
15784,Deplin,9
15793,Cymbalta,10
15807,Wellbutrin XL,1
15822,Escitalopram,8
15853,Cymbalta,9
15865,Duloxetine,10
15898,Sertraline,1
15905,Trintellix,3
15928,Vilazodone,8
15980,Olanzapine,1
15994,Celexa,1
16026,Trintellix,1
16044,Bupropion,9
16046,Phenelzine,10
16069,Fluoxetine / olanzapine,9
16117,Wellbutrin SR,8
16136,Fluoxetine,9
16141,Aripiprazole,10
16145,Paroxetine,9
16160,Duloxetine,10
16179,Viibryd,1
16183,Bupropion,10
16184,Fetzima,2
16193,Vortioxetine,1
16196,Escitalopram,9
16210,Celexa,6
16211,Bupropion,9
16239,Fluoxetine,10
16262,Celexa,6
16266,Escitalopram,7
16313,Emsam,9
16333,Viibryd,1
16343,Effexor,9
16372,Viibryd,1
16405,Pristiq,1
16433,Lexapro,10
16451,Paxil,7
16462,Fluoxetine,3
16472,Zoloft,9
16531,Sertraline,9
16593,Bupropion,9
16597,Trintellix,9
16603,Bupropion,10
16623,Wellbutrin XL,3
16657,Paxil,10
16662,Duloxetine,8
16692,Abilify,8
16704,Desvenlafaxine,10
16712,Duloxetine,9
16731,Celexa,10
16769,Pristiq,8
16783,Escitalopram,8
16801,Wellbutrin SR,9
16846,Citalopram,10
16852,Wellbutrin,4
16870,Venlafaxine,10
16917,Cymbalta,4
16926,Escitalopram,10
16937,Desvenlafaxine,1
16940,Escitalopram,1
16952,Paroxetine,9
16967,Aplenzin,9
16971,Mirtazapine,9
17021,Remeron,1
17081,Wellbutrin SR,8
17094,Desvenlafaxine,8
17106,Viibryd,8
17116,Abilify,7
17136,Mirtazapine,3
17149,Vilazodone,3
17188,Abilify,7
17206,Viibryd,10
17236,Vilazodone,4
17240,Pristiq,9
17271,Bupropion,9
17272,Venlafaxine,5
17283,Zoloft,3
17297,St. john's wort,10
17328,Desvenlafaxine,3
17339,Wellbutrin,1
17347,Celexa,9
17376,Mirtazapine,8
17379,Cymbalta,10
17400,Fluoxetine,9
17421,Venlafaxine,7
17445,Vortioxetine,8
17487,Sertraline,10
17508,Lexapro,10
17610,Fluoxetine,10
17618,Paroxetine,8
17684,Bupropion,7
17696,Selegiline,9
17707,Zoloft,9
17714,Abilify,8
17723,Duloxetine,5
17747,Paxil,9
17758,Zoloft,9
17775,Sertraline,8
17785,Venlafaxine,8
17800,Tranylcypromine,10
17810,Lexapro,7
17825,Citalopram,6
17843,Lexapro,8
17882,Pristiq,8
17913,Escitalopram,7
17922,Tramadol,10
17929,Fluoxetine,9
17939,Bupropion,10
17958,Bupropion,8
17967,Symbyax,10
18004,Escitalopram,4
18014,Citalopram,7
18027,Lexapro,9
18032,Duloxetine,1
18082,Desvenlafaxine,5
18089,Celexa,10
18094,Lexapro,10
18101,Quetiapine,3
18115,Paroxetine,10
18138,Wellbutrin XL,3
18161,Celexa,10
18184,Bupropion,8
18185,Trintellix,2
18200,Sertraline,9
18234,Remeron,9
18275,Bupropion,10
18317,Lexapro,1
18324,Zoloft,7
18350,Bupropion,5
18355,Vilazodone,8
18373,Fluoxetine,1
18380,Celexa,1
18386,Cymbalta,1
18406,Vilazodone,10
18412,Duloxetine,10
18425,Effexor,9
18439,Effexor,10
18444,Cymbalta,3
18480,Prozac,9
18495,Cymbalta,7
18505,Viibryd,8
18519,Escitalopram,9
18532,Mirtazapine,5
18556,Trintellix,7
18559,Escitalopram,5
18580,Prozac,7
18589,Desvenlafaxine,8
18610,Abilify,9
18622,Duloxetine,1
18630,Abilify,9
18631,Desvenlafaxine,1
18632,Vilazodone,3
18641,Venlafaxine,10
18646,Pristiq,9
18671,Escitalopram,9
18695,Desvenlafaxine,9
18722,Sertraline,9
18732,Amitriptyline,7
18763,Escitalopram,1
18783,Mirtazapine,8
18790,Sertraline,9
18834,Lexapro,10
18851,Pristiq,8
18865,Wellbutrin,10
18886,Wellbutrin,10
18889,Bupropion,8
18896,Effexor XR,9
18908,Sertraline,8
18949,Cymbalta,1
18951,Zoloft,10
18988,Venlafaxine,1
19008,Escitalopram,8
19014,Effexor XR,10
19016,Duloxetine,9
19024,Wellbutrin,2
19028,Zoloft,4
19058,Fluoxetine,6
19100,Brexpiprazole,1
19112,Escitalopram,10
19141,Pristiq,6
19182,Bupropion,7
19196,Risperdal,9
19219,Seroquel,5
19221,Mirtazapine,5
19274,Vortioxetine,1
19293,Venlafaxine,9
19301,Abilify,7
19318,Venlafaxine,9
19348,Effexor,1
19353,Vilazodone,10
19369,Tramadol,10
19404,Sertraline,10
19416,Prozac,1
19429,Celexa,10
19433,Desvenlafaxine,9
19450,Mirtazapine,7
19485,Sertraline,8
19494,Vortioxetine,7
19538,Abilify,10
19550,Bupropion,10
19553,Trintellix,9
19583,Paxil,10
19592,Amitriptyline,10
19610,Venlafaxine,9
19629,Escitalopram,10
19652,Cymbalta,1
19677,Viibryd,1
19684,Sertraline,10
19688,Duloxetine,1
19699,Viibryd,1
19714,Escitalopram,7
19729,Bupropion,2
19743,Escitalopram,8
19750,Sertraline,1
19759,Fetzima,7
19770,Zoloft,9
19793,Citalopram,9
19808,Citalopram,8
19809,Desvenlafaxine,1
19852,Pristiq,8
19878,Phenelzine,6
19884,Aripiprazole,10
19911,Pristiq,10
19927,Bupropion,8
19961,Cymbalta,1
19972,Mirtazapine,2
19975,Escitalopram,1
20025,Celexa,7
20037,Tranylcypromine,10
20051,Bupropion,10
20053,Fluoxetine,10
20057,Viibryd,8
20086,Wellbutrin,9
20120,Abilify,10
20147,Sertraline,10
20158,Lexapro,10
20185,Zoloft,8
20190,Escitalopram,8
20208,Pristiq,9
20228,Pristiq,1
20231,Abilify,9
20261,Pristiq,5
20281,Sertraline,8
20287,Bupropion,10
20295,Zoloft,10
20304,Zoloft,5
20315,Wellbutrin,10
20319,Aripiprazole,9
20352,Effexor,5
20375,Vortioxetine,6
20383,Nardil,10
20461,Fluoxetine,1
20469,Xanax,9
20470,Citalopram,9
20495,Wellbutrin,9
20515,Alprazolam,10
20531,Pristiq,9
20533,Trintellix,8
20536,Cymbalta,10
20547,Modafinil,10
20583,Xanax,6
20601,Bupropion,6
